name,price,user_id,photo_url,stock,description
Bustling Shark Goggles,1196,7,http://ecx.images-amazon.com/images/I/617jzjqn8gL._SX522_.jpg,12,Made using the highest quality materials
Wry Toypedo Bandits,615,7,http://ecx.images-amazon.com/images/I/41YoOqCoHlL.jpg,15,Glides underwater up to 30 feet
Squealing Water Noodles,1143,7,http://ecx.images-amazon.com/images/I/41nwJCNDadL.jpg,3,Large diameter for extra fun! Made from Safe Soft Funnoodle Foam! Floats over 200 pounds! Funnoodle Monster America's #1 selling pool toy. Let's have fun in the sun. Listing is for 1 Monster Funnoodle - color chosen at random.
Adhesive Dive Sticks,395,8,http://ecx.images-amazon.com/images/I/71HLzuKqRAL._SX522_.jpg,8,Sticks stand upright on pool bottom.
Hissing Puddle Jumper Life Jacket,1359,8,http://ecx.images-amazon.com/images/I/61gR3TBnTuL._SX522_.jpg,4,For children 30-50 lbs.
Sloppy Puddle Jumper Life Jacket,1359,9,http://ecx.images-amazon.com/images/I/61gR3TBnTuL._SX522_.jpg,1,For children 30-50 lbs.
Hanging Shark Goggles,1196,8,http://ecx.images-amazon.com/images/I/617jzjqn8gL._SX522_.jpg,7,Made using the highest quality materials
Fumbling Toypedo Bandits,615,8,http://ecx.images-amazon.com/images/I/41YoOqCoHlL.jpg,12,Glides underwater up to 30 feet
Brief Dive Rings,599,9,"http://ecx.images-amazon.com/images/I/41LsD5TcnYL.AA500_PIcountsize-2,TopRight,0,0_AA500_SH20_.jpg",1,Unbreakable rings stand up on the pool bottom for diving games. Set of 4.
Lean Dory Doll,3000,9,http://ecx.images-amazon.com/images/I/51K6wQjaqYL.jpg,7,"Disney Finding Nemo Large Finding Dory 12"" Plush DORY Doll"
Giant Inflatable Water Wheel,3795,9,http://ecx.images-amazon.com/images/I/51K8HOgMx5L.jpg,3,"Kid's Inflatable Water Wheel Swimming Pool Toy (49"" X 33"") - Summer just got funner in the pool with this brand new Kidster Water Wheel. Don't you wish we had these when we were kids. Your kids will love the hamster wheel like movement in this fun and unique inflatable pool toy. Roll along the top of the water with ease in the Kidster Water Wheel. Adult Supervision is always recommended."
Lazy Water Noodles,1143,9,http://ecx.images-amazon.com/images/I/41nwJCNDadL.jpg,14,Large diameter for extra fun! Made from Safe Soft Funnoodle Foam! Floats over 200 pounds! Funnoodle Monster America's #1 selling pool toy. Let's have fun in the sun. Listing is for 1 Monster Funnoodle - color chosen at random.
Animated Dory Doll,3000,10,http://ecx.images-amazon.com/images/I/51K6wQjaqYL.jpg,9,"Disney Finding Nemo Large Finding Dory 12"" Plush DORY Doll"
Ethereal Finding Nemo DVD,1996,10,http://cdn.funcheap.com/wp-content/uploads/2014/03/finding-nemo-poster.jpg,14,"Sea it like never before! For the first time ever, through the magic of Blu-ray and Blu-ray 3D, fully immerse yourself in the stunning underwater world of Disney/Pixar's FINDING NEMO! From the creators of TOY STORY and MONSTERS, INC., this critically acclaimed and heartwarming tale splashes off the screen with brilliant digital picture, high definition sound and breathtaking bonus features that transport you beyond your imagination."
Regular Puddle Jumper Life Jacket,1359,10,http://ecx.images-amazon.com/images/I/61gR3TBnTuL._SX522_.jpg,1,For children 30-50 lbs.
Dizzy Swimming Fish Pool Toy,1399,10,http://ecx.images-amazon.com/images/I/71R6EdJ3pVL._SL1001_.jpg,14,
Medical Toypedo Bandits,615,10,http://ecx.images-amazon.com/images/I/41YoOqCoHlL.jpg,8,Glides underwater up to 30 feet
